uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:f1,skos:Concept,f1,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:f2,skos:Concept,f2,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:f3,skos:Concept,f3,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:f°,skos:Concept,f°,colt:quartaireeenheid,,"Fining-up cyclus (cycli), mogelijks met veen",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:g,skos:Concept,g,colt:quartaireeenheid,,"Weichseliaan, continentaal, niveo-eolisch, fluviatiel",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:h,skos:Concept,h,colt:quartaireeenheid,,Diachroon,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:h',skos:Concept,h',colt:quartaireeenheid,,Niet gedifferentieerd facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:i,skos:Concept,i,colt:quartaireeenheid,,Zandig/kleiig complex,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:j,skos:Concept,j,colt:quartaireeenheid,,Silteus tot kleiig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:j',skos:Concept,j',colt:quartaireeenheid,,Niet gedifferentieerd facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:k,skos:Concept,k,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:k',skos:Concept,k',colt:quartaireeenheid,,"Niet gedifferentieerd facies, veen en kalftuf mogelijks aanwezig",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:k1,skos:Concept,k1,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:k2,skos:Concept,k2,colt:quartaireeenheid,,"Holoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:l,skos:Concept,l,colt:quartaireeenheid,,"Weichseliaan, continentaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:m,skos:Concept,m,colt:quartaireeenheid,,"Holoceen, marien",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:n,skos:Concept,n,colt:quartaireeenheid,,"Weichseliaan, continentaal, niveo-eolisch",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:o,skos:Concept,o,colt:quartaireeenheid,,Holoceen - Pleistoceen overgang,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:p,skos:Concept,p,colt:quartaireeenheid,,Perimarien,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
